id,en,fr,es
RECRUIT_IDLE_DIALOG_11,What are we going to do if the Mall runs out of tapes?[pause] I don't even want to think about it!,Qu’est-ce qu’on va faire si la Galerie tombe à court de cassettes ?[pause] Je n’ai même pas envie d’y penser !,¿Que vamos a hacer si se agotan las cintas del Centro comercial?[pause] ¡No quiero ni pensarlo!
RECRUIT_IDLE_DIALOG_12,I was in my bathtub when I suddenly appeared here…[pause] I didn't even get to rinse my hair!,J’étais dans ma baignoire quand je suis soudainement apparu ici…[pause] Je n’ai même pas pu me rincer les cheveux !,Estaba en la bañera cuando de repente aparecí aqui…[pause] ¡Ni siquiera puede aclararme el pelo!
RECRUIT_IDLE_DIALOG_13,Do you think the monsters here might be…[pause][wave amp=30 freq=15]edible[/wave]?,Tu penses que les monstres ici pourraient être… [pause][wave amp=30 freq=15]comestibles[/wave] ?,¿Crees que los monstruos pueden ser…[pause][wave amp=30 freq=15]comestibles[/wave]?
RECRUIT_IDLE_DIALOG_14,The most incredible thing washed up on the beach last night…[pause] It was a cartridge of my favorite childhood game![pause] Now if only I could find the [wave amp=30 freq=15]game console[/wave] to use it with...,Quelque chose d’incroyable s’est échoué sur la plage la nuit dernière...[pause] Une cartouche de mon jeu préféré de mon enfance ![pause] Il me manque juste la [wave amp=30 freq=15]console[/wave] pour y jouer…,Algo increible acabó varado en la orilla esta noche…[pause] ¡Era un cartucho del juego favorito de mi infancia![pause] Si solo pudiera encontrar [wave amp=30 freq=15]la consola[/wave] para usarlo...
RECRUIT_IDLE_DIALOG_15,I heard the mall is haunted![pause] I can't wait to bring a ghost home as a pet!,J’ai entendu dire que la Galerie est hantée ![pause] Je suis impatient de ramener un fantôme de compagnie à la maison !,¡He escuchado que el centro comercial esta encantado![pause] ¡No puedo esperar a traerme un fantasma a casa como mascota!
RECRUIT_IDLE_DIALOG_16,"The other night, I gazed out into the infinite void of the ocean.[pause] It called to me.[pause] It said [wave amp=30 freq=10]""bikini season is only 4 months away""[/wave]![pause] Oh the horror!","La nuit dernière, j’ai regardé l’infini de l’océan.[pause] Il m’appelait. [pause]Il m’a dit...[wave amp=30 freq=10] « la saison des maillots de bain est dans 4 mois seulement »[/wave]![pause] Horreur !","La otra noche, estuve mirando el el vacio infinito del oceano.[pause] Me llamaba.[pause] Me dijo [wave amp=30 freq=10]""quedan 4 meses para la temporada de bikini""[/wave]![pause] ¡El horror!"
RECRUIT_IDLE_DIALOG_17,"There's this rumor[pause], if you play your tapes backwards it would summon a demon god!","Il y a une rumeur comme quoi,[pause] si tu joues une cassette à l’envers,[pause] tu pourrais invoquer un dieu démon !","He escuchado un rumor,[pause] ¡dicen que si reproduces tus cintas al reves invocarás a un dios demonio!"
RECRUIT_IDLE_DIALOG_18,I had a brilliant idea![pause] I'm going to use two cassette players to play two different tapes![pause] Do you think I'll fuse with myself?,J’ai eu une idée de géne ![pause] Je vais utiliser deux lecteurs de cassette pour jouer deux cassettes différentes ![pause] Peut-être que je fusionnerais avec moi-même ?,¡He tenido una idea brillante![pause] ¡Voy a usar dos reprodcutores para reproducir dos cintas![pause] ¿Crees que me fusionaré conmigo mismo?
RECRUIT_IDLE_DIALOG_19,Cassettes?[pause] I prefer MP3 players myself.,"Des cassettes ?[pause] Personnellement, je préfère les lecteurs MP3.",¿Casetes?[pause] Yo prefiero los MP3.
RECRUIT_IDLE_DIALOG_20,How did I even get here? [pause]Last thing I remember was getting hit by a truck!,Comment est-ce que je suis arrivé ici ?[pause] La dernière chose dont je me souvienne est de m’être fait renverser par un camion !,¿Como he llegado aqui? [pause]¡Lo último que recuerdo fue ser golpeado por un camión!
RECRUIT_IDLE_DIALOG_21,"I used to be a great ranger like yourself, but then a Nevermort spit on my knee!","Moi aussi, j’étais un Veilleur autrefois, et puis un Corbomort m’a craché sur le genou !","Solía ser un gran guarda como tu, ¡pero entonces un Nuncamórvido me escupio en la rodilla!"
RECRUIT_IDLE_DIALOG_22,,,
RECRUIT_IDLE_DIALOG_23,,,
RECRUIT_IDLE_DIALOG_24,,,
RECRUIT_IDLE_DIALOG_25,,,
RECRUIT_IDLE_DIALOG_26,,,
RECRUIT_PASSIVE_ROGUE1,There's been another rogue sighting![pause] We need all available rangers!,On a signalé une fusion rebelle ![pause] On a besoin de tous les Veilleurs disponibles !,¡Han visto otra fusión salvaje![pause] ¡Necesitamos a todos los guardas disponibles!
RECRUIT_PASSIVE_ROGUE2,I'm not sure I can take this one alone! [pause] Can anyone lend a hand?,Je suis pas sûr de pouvoir me mesurer à celle-ci par moi-même ![pause] Est-ce que quelqu’un peut me prêter main forte ?,¡No sé si puedo con este solo![pause] ¿Alguien puede echarme una mano?
RECRUIT_PASSIVE_ROGUE3,That rogue is getting out of control! Where are the captains!?,Cette fusion est hors de contrôle ! Où sont les capitaines ?!,¡Esa fusión se está descontrolando! ¿Dónde están los capitanes?
RECRUIT_PASSIVE_ROGUE4,This rogue already killed my partner! [pause] He was just 3 days from retirement too!,Cette fusion a déjà fait la peau à mon partenaire ![pause] Dire qu’il était à 3 jours de sa retraite!,¡Esa fusión ha matado a mi compañero![pause] ¡Además le faltaban 3 días para jubilarse!
RECRUIT_PASSIVE_ROGUE5,"I'll help put this rogue down, but don't expect me to hang around if things go south!","J’aiderai à mettre cette fusion au tapis, mais il ne faut pas s’attendre à ce que je reste lorsque les choses tourneront au vinaigre !","Te ayudaré a acabar con esta fusión, ¡pero no esperes que me quede por aquí si las cosas se ponen feas!"
RECRUIT_PASSIVE_ROGUE6,We can't let this rogue get too close to town!,On ne peut pas laisser cette fusion rebelle s’approcher de la ville !,¡No podemos dejar que esta fusión se acerque demasiado a la ciudad!
RECRUIT_MENU_OPTION1,Invite {pawn} to Party,Inviter {pawn} au groupe,Invitar a {pawn} al Equipo
RECRUIT_MENU_OPTION2,Fight {pawn},Se battre contre {pawn},Pelea contra {pawn}
RECRUIT_MENU_OPTION3,[color=#1fba33]Trade Stickers[/color],[color=#1fba33]Échanger des autocollants[/color],[color=#1fba33]Intercambia pegatinas[/color]
RECRUIT_MENU_OPTION5,Play Card Game,Jouer aux cartes,Juega a las cartas
RECRUIT_MENU_OPTION4,Goodbye!,Au revoir !,¡Adiós!
RECRUIT_MENU_PLAYCARDS1,A card game on a weird interdimensional island filled with dangerous monsters?[pause][pause] Of course I'll play!,Jouer aux cartes sur une île zarbi interdimensionelle remplie de dangereux monstres ?[pause][pause] Bien sûr que je suis partant !,¿Un juego de cartas en una extraña isla interdimensional llena de monstruos peligrosos?[pause][pause] ¡Por supuesto que jugaré!
RECRUIT_MENU_PLAYCARDS2,"Ok[pause], but I'll have you know I'm pretty good at these!","OK,[pause] mais je te ferai savoir que je suis plutôt bon !","Vale[pause], ¡pero te haré saber que soy bastante bueno en esto!"
RECRUIT_MENU_PLAYCARDS3,Let's stake our livelyhood and the fate of our world...[pause] on a card game!,Jouons notre vie et le destin de notre monde…[pause] sur une partie de cartes !,Apostemos nuestra vida y el destino de nuestro mundo... [pause] ¡en una partida de cartas!
RECRUIT_MENU_PLAYCARDS4,Sounds like a great way to take my mind off the impending doom and existential dread!,Ça sonne comme une excellente façon de me changer les idées loin de la marche incessante du temps et de la terreur existentielle !,¡Suena como una forma genial de distraerme del desastre inminente y el miedo existencial!
RECRUIT_MENU_PLAYCARDS5,I spent all night building my deck![pause] Time to take it for a spin!,J’ai passé toute la nuit à construire mon deck ![pause] C’est l’heure de le mettre à l’épreuve !,¡Me pasé toda la noche construyendo mi mazo![pause] ¡Hora de sacarlo a pasear!
RECRUIT_PLAYCARDS_LOSE1,"Aw, dang it. I gotta find better cards.",Mince… Je devrais trouver de meilleures cartes.,"¡Rayos! Tengo que encontrar mejores cartas."
RECRUIT_PLAYCARDS_LOSE2,I knew I should have swapped my stance on the last card!,J’étais sûr que j’aurais dû changer ma posture sur la dernière carte !,¡Sabía que debería haber cambiado mi postura en la última carta!
RECRUIT_PLAYCARDS_LOSE3,Next time I'll use more remaster combos!,"La prochaîne fois, j’utiliserais plus de combos rematricage !",¡La próxima vez usaré más combos remasterizados!
RECRUIT_PLAYCARDS_LOSE4,"Argh! Fine[pause], you can have my card!","Argh! Bon,[pause] j’ai compris, tu peux prendre cette carte!","¡Argh! Bien[pause], ¡puedes quedarte con mi carta!"
RECRUIT_PLAYCARDS_LOSE5,I'm not going to be a sore loser about it.[pause] Here's your prize.,Je ne vais pas faire le mauvais perdant.[pause] Voilà ta récompense.,No voy a ser un mal perdedor por esto.[pause] Aquí tienes tu premio.
RECRUIT_PLAYCARDS_LOSE6,I'm definitely not going to obsess over this later.,Je ne vais certainement pas m’obséder avec ça plus tard.,Definitivamente no voy a obsesionarme con esto después.
RECRUIT_PLAYCARDS_WIN1,"It's all in the heart of the cards, you know?","Tout dépend de l’âme des cartes, tu sais ?","Todo está en el corazón de las cartas, ¿sabes?"
RECRUIT_PLAYCARDS_WIN2,Shift your stance into Defending when you're low on health! After blocking damage you'll heal for the leftover defense points!,"Passe en posture défensive lorsque tes PV sont bas ! Après avoir bloqué des dégats, tu te soigneras avec les points de défense qu’il te reste !",¡Cambia tu postura a Defendiendo cuando tengas poca vida! ¡Después de bloquear el daño te curarás los puntos de defensa restantes!
RECRUIT_PLAYCARDS_WIN3,Ha! I've still got it![pause] It's all about Balance!,Héhé ! Je n’ai pas perdu la main ![pause] C’est une question d’équilibre !,¡Ja! ¡Todavía lo tengo![pause] ¡Lo más importante es ser Equilibrado!
RECRUIT_PLAYCARDS_WIN4,Did you know?[pause] You keep your Remaster Bonus even if your next card causes you to change stance!,"Le savais-tu ?[pause] Même si ta prochaine carte te fait changer de posture, tu gardes ton bonus de rematriciage !",¿Sabías que...?[pause] ¡Mantienes tu Bonificación de Remasterización incluso si tu siguiente carta te hace cambiar de postura!
RECRUIT_PLAYCARDS_WIN5,Alright![pause] I'll become a champion in no time!,Super ![pause] Je vais devenir un champion en deux temps trois mouvements !,¡Bien![pause] ¡Me convertiré en campeón enseguida!
RECRUIT_PLAYCARDS_WIN6,"Playing all the cards for a full remaster gives greater bonuses than partial remasters, but they can be so hard to setup!","Jouer toutes les cartes pour un rematriciage complet procuire des bonus supérieurs à un rematriciage partiel, mais ils peuvent être si durs à mettre en place !","Jugar todas las cartas para una remasterización completa da mayores bonificaciones que las remasterizaciones parciales, ¡pero pueden ser muy difíciles de preparar!"
RECRUIT_MENU_INVITE_ACCEPT1,"Sure, I've got some free time!","Pourquoi pas, j’ai du temps libre !","¡Claro, tengo algo de tiempo libre!"
RECRUIT_MENU_INVITE_ACCEPT2,"I guess I can lend a hand, if you [wave amp=30 freq=10]really[/wave] need it.","J’imagine que je peux t’aider, si tu en as [wave amp=30 freq=10]vraiment[/wave] besoin.","Supongo que puedo echar una mano, si [wave amp=30 freq=10]de verdad[/wave] lo necesitas."
RECRUIT_MENU_INVITE_ACCEPT3,"We're not doing anything too dangerous[pause], are we?","On ne va rien faire de trop dangereux, [pause]si?","No estamos haciendo nada demasiado peligroso[pause], ¿verdad?"
RECRUIT_MENU_INVITE_REJECT1,"It seems like you've got your hands full, maybe later! ","On dirait que ton groupe est déjà bien fourni, peut-être plus tard!","Parece que tienes las manos ocupadas, ¡quizás más tarde!"
RECRUIT_MENU_INVITE_REJECT2,I'm a bit anxious around this many people. Can we hang out some other time?,Je suis un peu anxieux autour d’autant de gems. On pourrait se voir une autre fois ?,Estoy un poco nervioso con tanta gente. ¿Podemos quedar en otro momento?
RECRUIT_MENU_INVITE_REJECT3,Lose the extra pair of hands first.,Fais une place dans ton groupe d’abord.,"Primero, suelta las manos que te sobran."
RECRUIT_MENU_GOODBYE1,See you around!,À la revoyure !,¡Nos vemos!
RECRUIT_MENU_GOODBYE2,"Don't go too far, in case I need help…","Ne t’en va pas trop loin, au cas où j’ai besoin d’aide…","No te alejes demasiado, por si necesito ayuda..."
RECRUIT_MENU_GOODBYE3,"Fine, I was in the middle of something anyway. ","Bien; j’étais occupé par autre chose, de toute façon.","Bueno, estaba en medio de algo de todas formas."
RECRUIT_MENU_CHALLENGE_ACCEPT1,"Sure, I could use the warm up!","Ça tombe bien, j’avais besoin d’un échauffement !","Claro, ¡me vendría bien calentar!"
RECRUIT_MENU_CHALLENGE_ACCEPT2,"Alright, but don't blame me for what happens next.","D’accord, mais ne me blâme pas pour ce qui risque d’arriver.","Bueno, pero no me culpes por lo que pase después."
RECRUIT_MENU_CHALLENGE_ACCEPT3,"You'll go easy on me[pause], right?","N’y vas pas trop fort,[pause] hein ?","Tendrás piedad de mi[pause], ¿verdad?"
RECRUIT_CHALLENGE_WIN1,That was more of a workout than I expected!,Je ne pensais pas suer autant !,¡Eso fue más agotador de lo que esperaba!
RECRUIT_CHALLENGE_WIN2,I was still getting warmed up.,J’étais encore en train de m’échauffer.,Todavía estaba calentando.
RECRUIT_CHALLENGE_WIN3,"{player}, you really don't pull your punches do you?","{player}, tu ne retiens vraiment pas tes coups, hein?","{player}, ¿de verdad no te andas con rodeos?"
RECRUIT_MENU_CHALLENGE_REJECT1,I'm still catching my breath from our last round! Maybe we can go again tomorrow?,Je suis encore en train de récupérer mon souffle après notre dernier duel ! Peut-être qu’on peut remettre ça demain ?,¡Todavía estoy recuperando el aliento de nuestra última ronda! ¿Quizás podamos volver a jugar mañana?
RECRUIT_MENU_CHALLENGE_REJECT2,Are you [wave amp=30 freq=10]trying[/wave] to humiliate me? Go pick on somebody else for a while.,Est-ce que tu fais [wave amp=30 freq=10]exprès[/wave] de chercher à m’humilier ? Va chercher quelqu’un d’autre à frapper maintenant.,¿Estas [wave amp=30 freq=10]intentando[/wave] humillarme? Ve a molestar a otro un rato.
RECRUIT_MENU_CHALLENGE_REJECT3,"I don't think I can keep up with you, {player}. I need some time to rethink my strategy!","Je ne pense pas pouvoir t’arriver à la cheville, {player}. J’ai besoin de temps pour réfléchir à ma stratégie !","No creo que pueda seguirte el ritmo, {player}. ¡Necesito tiempo para replantear mi estrategia!"
FOLLOWER_DEFAULT_INTERACTION,[i]Dismiss {pawn} from your party?[/i],[i]Renvoyer {pawn} du groupe ?[/i],[i]¿Sacar a {pawn} de tu equipo?[/i]
FOLLOWER_IDLE_DIALOG1,"Hey {player}, need something?","Salut, {player}, besoin de quelque chose ?","Oye, {player}, ¿necesitas algo?"
FOLLOWER_IDLE_DIALOG2,You and {partner} seem like a great team. I hope I can find somebody like that!,"Toi et {partner}, vous avez l’air de faire une excellente équipe. J’espère rencontrer quelqu’un comme ça, moi aussi !",Tú y {partner} parecen un gran equipo. ¡Espero encontrar a alguien así!
FOLLOWER_IDLE_DIALOG3,I heard some weird stuff happens here in {region_name}. Maybe we can wrap up and go hang out at the Café?,J’ai entendu dire que des choses étranges se passent souvent ici à {region_name}. Peut-être qu’on devrait remballer et aller se reposer au Café ?,He oído que pasan cosas raras aquí en {region_name}. ¿Quizás podamos terminar y pasar el rato en la cafetería?
FOLLOWER_IDLE_DIALOG4,How long have you been using that {first_tape_name} tape? We should go record one for me to try out!,"Depuis combien de temps est-ce que tu te sers de cette cassette {first_tape_name} ? On devrait aller en enregistrer une, que je puisse essayer aussi !",¿Cuánto tiempo llevas usando esa cinta de {first_tape_name}? ¡Deberíamos grabar una para que la pruebe!
FOLLOWER_IDLE_DIALOG5,How's it going?,Comment ça va?,¿Qué tal?
FOLLOWER_IDLE_DIALOG6,I'm so pumped! What's next?,"Je suis pompé à bloc ! C’est quoi, la suite ?",¡Estoy emocionadísimo! ¿Qué sigue?
FOLLOWER_MENU_OPTION1,Yes,Oui,Sí
FOLLOWER_MENU_OPTION2,No,Non,No
FOLLOWER_DISMISSED1,"Darn, things were just starting to get interesting!","Zut, les choses commençaient à devenir intéressantes !","Vaya, ¡la cosa se estaba poniendo interesante!"
FOLLOWER_DISMISSED2,"Oh, alright. I'll go work on my sticker collection then.","Ah, d’accord. Je vais aller travailler sur ma collection d’autocollants, alors.","Ah, vale. Me iré a mejorar mi colección de pegatinas."
FOLLOWER_DISMISSED3,"Done already? Alright, I'll see you around then!","Déjà fini ? D’accord, à plus tard alors !","¿Ya terminaste? ¡Bien, nos vemos entonces!"
RECRUIT_TRADE_OFFER1,I really need [color=#{request_rarity}][{trade_request}][/color] to complete my newest strategy. I'm willing to offer [color=#{offer_rarity}][{trade_offer}][/color] in exchange!,J’ai vraiment besoin de [color=#{request_rarity}][{trade_request}][/color] pour compléter ma nouvelle stratégie. Je peux t’offrir [color=#{offer_rarity}][{trade_offer}][/color] en échange!,Necesito [color=#{request_rarity}][{trade_request}][/color] para completar mi nueva estrategia. ¡Estoy dispuesto a ofrecer [color=#{offer_rarity}][{trade_offer}][/color] a cambio!
RECRUIT_TRADE_OFFER2,I've been looking everywhere for [color=#{request_rarity}][{trade_request}][/color]! If you're interested I'll trade [color=#{offer_rarity}][{trade_offer}][/color] for it.,"Je cherche partout où je peux [color=#{request_rarity}][{trade_request}][/color]! Si tu en as un, je te propose [color=#{offer_rarity}][{trade_offer}][/color] en échange.","¡He estado buscando [color=#{request_rarity}][{trade_request}][/color] por todas partes! Si te interesa, te lo cambio por [color=#{offer_rarity}][{trade_offer}][/color]."
RECRUIT_TRADE_OFFER3,"If you've got any spare [color=#{request_rarity}][{trade_request}][/color] stickers laying around, I'll gladly give you my [color=#{offer_rarity}][{trade_offer}][/color] for it.","Si tu as un autocollant [color=#{request_rarity}][{trade_request}][/color] en rab’, je serai ravi de t’offrir [color=#{offer_rarity}][{trade_offer}][/color] en échange.","Si tienes pegatinas de [color=#{request_rarity}][{trade_request}][/color] de sobra, con gusto te doy mi [color=#{offer_rarity}][{trade_offer}][/color]."
RECRUIT_TRADE_OFFER4,"[color=#{request_rarity}][{trade_request}][/color] is the missing piece to my perfect winning strategy! You can have [color=#{offer_rarity}][{trade_offer}][/color] for it, if you promise not to tell anybody about my amazing setup!","[color=#{request_rarity}][{trade_request}][/color] est la dernière pièce du puzzle pour ma stratégie parfaite ! Je t’échange [color=#{offer_rarity}][{trade_offer}][/color] pour un exemplaire, si tu promets de ne parler à personne de mon idée de génie !","¡[color=#{request_rarity}][{trade_request}][/color] es la pieza que falta en mi estrategia ganadora perfecta! Puedes tener [color=#{offer_rarity}][{trade_offer}][/color] por él, ¡si prometes no contarle a nadie sobre mi increíble configuración!"
RECRUIT_TRADE_OFFER5,Would you be willing to trade [color=#{request_rarity}][{trade_request}][/color] for my [color=#{offer_rarity}][{trade_offer}][/color] sticker?,Serais-tu prêt à échanger ton autocollant [color=#{request_rarity}][{trade_request}][/color] contre mon autocollant [color=#{offer_rarity}][{trade_offer}][/color] ?,¿Estarías dispuesto a cambiar [color=#{request_rarity}][{trade_request}][/color] por mi pegatina de [color=#{offer_rarity}][{trade_offer}][/color]?
RECRUIT_TRADE_ACCEPTED1,"Finally, this [color=#{request_rarity}]{trade_request}[/color] sticker will make me invincible!",Enfin ! Cet autocollant [color=#{request_rarity}]{trade_request}[/color] me rendra invincible !,"¡Por fin, esta pegatina de [color=#{request_rarity}]{trade_request}[/color] me hará invencible!"
RECRUIT_TRADE_ACCEPTED2,Thanks! I hope [color=#{offer_rarity}][{trade_offer}][/color] is useful to you!,Merci ! J’espère que [color=#{offer_rarity}][{trade_offer}][/color] te sera utile !,¡Gracias! Espero que [color=#{offer_rarity}][{trade_offer}][/color] te sea útil.
RECRUIT_TRADE_ACCEPTED3,What a steal! I would have gladly traded [wave amp=30 freq=10]two[/wave] [color=#{offer_rarity}][{trade_offer}][/color] stickers!,Quelle affaire! J’aurais volontiers échangé [wave amp=30 freq=10]deux[/wave] autocollants [color=#{offer_rarity}][{trade_offer}][/color] !,¡Menuda ganga! Con gusto habría cambiado [wave amp=30 freq=10]dos[/wave] pegatinas de [color=#{offer_rarity}][{trade_offer}][/color]!
RECRUIT_TRADE_REJECTED1,What kind of fool do you take me for? That's not [color=#{request_rarity}][{trade_request}][/color]!,Tu me prends pour un idiot ? Ce n’est pas du tout [color=#{request_rarity}][{trade_request}][/color]!,¿Por qué clase de tonto me tomas? ¡Eso no es [color=#{request_rarity}][{trade_request}][/color]!
RECRUIT_TRADE_REJECTED2,If you didn't have [color=#{request_rarity}][{trade_request}][/color] all you had to do was say so…,"Si tu n’avais pas [color=#{request_rarity}][{trade_request}][/color], il suffisait de le dire…",Si no tenías [color=#{request_rarity}][{trade_request}][/color] solo tenías que decirlo…
RECRUIT_TRADE_REJECTED3,What am I supposed to do with this? I really needed [color=#{request_rarity}][{trade_request}][/color] to complete my collection!,Qu’est-ce que je suis censé faire de ça ? J’avais vraiment besoin de [color=#{request_rarity}][{trade_request}][/color] pour compléter ma collection !,¿Qué se supone que hago con esto? ¡Solo necesito [color=#{request_rarity}][{trade_request}][/color] para completar mi colección!
RECRUIT_TRADE_MENU_OPTION1,"Sure, here you go!","Bien sûr, tiens !","¡Claro, aquí tienes!"
RECRUIT_TRADE_MENU_OPTION2,No way!,"Ah, non !",¡Ni hablar!
RECRUIT_TRADE_CANCEL1,Dang it! Now what am I going to do?!,"Zut ! Qu’est-ce que je vais faire, alors?",¡Rayos! ¿Y ahora qué hago?
RECRUIT_TRADE_CANCEL2,"Oh, okay. Thanks for considering it.","Ah, d’accord. Merci d’avoir considéré.","Ah, vale. Gracias por considerarlo."
RECRUIT_TRADE_CANCEL3,I guess I'll have to keep checking the sticker merchants…,J’imagine que je vais devoir continuer de vérifier les stocks des marchands d’autocollants…,Supongo que tendré que seguir mirando a los comerciantes de pegatinas...
TRADE_STICKER_UI_USE,Trade Sticker,Échanger autocollant,Intercambiar pegatina
LIVINGWORLD_SETTINGS_UI_ENCOUNTERS,NPCs Join Raids:,Les PNJ participent aux raids,Los PNJ se unen a incursiones:
LIVINGWORLD_SETTINGS_UI_MAGNETISM,NPC Magnetism Ability,Les PNJ ont électromagnétisme,Magnetismo Abilidad de PNJ
LIVINGWORLD_SETTINGS_UI_BACKUP_STATUS,NPC Status Bar,Barre de statut PNJ,Barra de estado de PNJ
LIVINGWORLD_SETTINGS_UI_CAPTAIN_PATROL,Captains Engage Nearby Fusions,Les capitaines attaquent les fusions rebelles,Capitanes se involucran en fusiones cercanas
UI_SETTINGS_KEYBOARD_livingworldmod_transform,Overworld Transform,Transformation hors combat,Transformación en el mundo exterior
LIVINGWORLD_SETTINGS_UI_BEHAVIOR_SECTION,Behavior,Comportement,Comportamiento
LIVINGWORLD_SETTINGS_UI_WORLD_SECTION,World,Monde,Mundo
LIVINGWORLD_SETTINGS_UI_BATTLE_SECTION,Battle,Combat,Batalla
LIVINGWORLD_SETTINGS_UI_BATTLESPRITE_OPTION1,Default,Par défaut,Predeterminado
LIVINGWORLD_SETTINGS_UI_BATTLESPRITE_OPTION2,Battle Sprite,Apparence de combat,Sprite de batalla
LIVINGWORLD_SETTINGS_UI_BATTLESPRITES,Partner Portrait,Portrait de partenaire,Retrato del compañero
LIVINGWORLD_SETTINGS_UI_CUSTOM_RECRUITS,Spawn Custom Trainees (Arena Archives),Apparition recrues customisées (Arena Archives),Generar entrenadores personalizados (Archivos de la Arena)
LIVINGWORLD_SETTINGS_UI_POPULATION,NPC Population:,Population PNJ,Cantidad de PNJ:
CAPTAIN_LUNCH_MENU,Out To Lunch.,Parti déjeuner.,Salí a comer.
CAPTAIN_LUNCH_MENU2,Wait for the Captain to return?,Attendre le retour du capitaine ?,¿Esperar a que regrese el capitán?
CAPTAIN_LUNCH_OPTION1,Yes,Oui,Sí
CAPTAIN_LUNCH_OPTION2,No,Non,No
KAYLEIGH_INVITE_ACCEPT1,Of course! Sound like fun!,Bien sûr ! Ça sonne fun !,¡Claro! ¡Suena divertido!
KAYLEIGH_IDLE_RECRUIT_DIALOG1,"It's a lot of work, but daily patrols are important for the town's safety!","C’est beaucoup de travail, mais les patrouilles quotidiennes sont importantes pour la sécurité de la ville !","Es mucho trabajo, pero las patrullas diarias son importantes para la seguridad del pueblo."
KAYLEIGH_IDLE_RECRUIT_DIALOG2,"Hi {player}, do anything interesting today?","Salut, {player}, as-tu fait quelque chose d’intéressant aujourd’hui ?","Hola {player}, ¿has hecho algo interesante hoy?"
KAYLEIGH_IDLE_RECRUIT_DIALOG3,There's been a lot of new faces washing up on the shore lately.,Il y a eu pas mal de nouvelles têtes s’échouant sur la plage depuis peu.,Últimamente han aparecido muchas caras nuevas en la costa.
KAYLEIGH_IDLE_RECRUIT_DIALOG4,Let's do everything we can to keep the town safe!,Faisons tout notre possible pour assurer la sécurité de la ville !,¡Hagamos todo lo posible por mantener el pueblo a salvo!
